price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model
26000,167390,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2013.0,Silver, Dubai,GLS,mitsubishi,pajero
110000,39000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,North American Specs,400 - 500 HP,Gasoline,Left Hand Side,2018.0,White, Sharjah,1500 High Country,chevrolet,silverado
78000,200000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2014.0,Blue, Sharjah,E 300,mercedes-benz,e-class
899000,27000,Perfect inside and out,Perfect inside and out,Dealer,Hard Top Convertible,8,Automatic Transmission,GCC Specs,600 - 700 HP,Gasoline,Left Hand Side,2018.0,Red, Dubai,Standard,ferrari,488-spider
33000,69000,Perfect inside and out,Perfect inside and out,Owner,Wagon,4,Manual Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2020.0,White, Dubai,Standard,renault,dokker
98000,84000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2015.0,Gold, Dubai,S-line,audi,a7
257000,68000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2019.0,Black, Dubai,SRT,jeep,grand-cherokee
82000,0,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4,Automatic Transmission,Other,Unknown,Diesel,Left Hand Side,,Silver, Dubai,Other,mitsubishi,l200
149000,0,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,6,Manual Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,,Beige, Abu Dhabi,70th Anniversary,toyota,land-cruiser-76-series
35999,111749,Perfect inside and out,Perfect inside and out,Dealer,Van,6,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2013.0,Silver, Dubai,SV,nissan,quest
389000,50000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2020.0,Grey, Abu Dhabi,Other,audi,s8
750000,96000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2020.0,Silver, Dubai,G 63 AMG,mercedes-benz,g-class
329000,31577,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2019.0,White, Dubai,Other,mercedes-benz,cls-class
63500,0,Perfect inside and out,Perfect inside and out,Dealer,Sedan,3,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,,Blue, Dubai,Other,mitsubishi,attrage
19500,171000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2008.0,White, Dubai,Limited,ford,edge
270000,41309,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2018.0,Grey, Dubai,Sport,maserati,granturismo
155000,73455,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2020.0,Blue, Dubai,Other,audi,a6
