price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model
77000,87000,Perfect inside and out,Perfect inside and out,Dealer,Van,Unknown,Manual Transmission,GCC Specs,Unknown,Diesel,Left Hand Side,2014.0,White, Dubai,Other,toyota,other
39000,53000,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,Unknown,Manual Transmission,Other,Unknown,Diesel,Left Hand Side,2016.0,White, Sharjah,Other,hyundai,other
1400000,0,Perfect inside and out,Perfect inside and out,Dealer,Sports Car,Unknown,Automatic Transmission,Other,Unknown,Gasoline,Left Hand Side,,Black, Dubai,Other,porsche,other
78000,50500,Perfect inside and out,Perfect inside and out,Owner,Utility Truck,Unknown,Manual Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2016.0,White, Dubai,Other,isuzu,other
64800,8500,Perfect inside and out,Perfect inside and out,Dealership/Certified Pre-Owned,Hatchback,Unknown,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2021.0,Grey, Dubai,Other,fiat,other
45000,55300,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,Unknown,Automatic Transmission,Other,Unknown,Diesel,Left Hand Side,2017.0,Blue, Sharjah,Other,hyundai,other
26000,0,Perfect inside and out,Perfect inside and out,Dealer,SUV,Unknown,Manual Transmission,Other,Unknown,Gasoline,Left Hand Side,,Silver, Dubai,Other,suzuki,other
670000,0,Perfect inside and out,Perfect inside and out,Dealer,Sedan,Unknown,Automatic Transmission,Other,400 - 500 HP,Gasoline,Left Hand Side,,White, Dubai,S 500,mercedes-benz,s-class
24000,270000,Perfect inside and out,Perfect inside and out,Dealer,SUV,Unknown,Automatic Transmission,North American Specs,Unknown,Gasoline,Left Hand Side,2000.0,Black, Sharjah,GXR,toyota,land-cruiser
79000,126000,Perfect inside and out,Perfect inside and out,Owner,Crossover,Unknown,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2015.0,Black, Dubai,HSE Luxury,land-rover,discovery-sport
310000,0,Perfect inside and out,Perfect inside and out,Dealer,Coupe,Unknown,Automatic Transmission,Other,Unknown,Gasoline,Left Hand Side,2021.0,Black, Dubai,GLC 300 4MATIC,mercedes-benz,glc
270000,80000,Perfect inside and out,Perfect inside and out,Owner,Coupe,Unknown,Automatic Transmission,European Specs,Unknown,Gasoline,Left Hand Side,2013.0,White, Dubai,FF,ferrari,ff
130000,0,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,Unknown,Automatic Transmission,GCC Specs,Unknown,Diesel,Left Hand Side,,Silver, Dubai,Other,toyota,hilux
15000,303000,Perfect inside and out,Perfect inside and out,Owner,Hatchback,Unknown,Automatic Transmission,GCC Specs,Unknown,Hybrid,Left Hand Side,2008.0,White,Sharjah,MID,toyota,yaris
66000,0,Perfect inside and out,Perfect inside and out,Dealer,Utility Truck,Unknown,Manual Transmission,Other,Unknown,Diesel,Left Hand Side,2019.0,Yellow, Dubai,Other,dongfeng,dfsk-v21
115000,58500,Perfect inside and out,Perfect inside and out,Owner,Pick Up Truck,Unknown,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2015.0,Green, Dubai,XLT,ford,f-series-pickup
15000,170000,"No accidents, very few faults",Perfect inside and out,Owner,Hard Top Convertible,Unknown,Automatic Transmission,Japanese Specs,Unknown,Gasoline,Left Hand Side,2004.0,Silver, Dubai,SL 350,mercedes-benz,sl-class
89500,0,Perfect inside and out,Perfect inside and out,Dealer,Sedan,Unknown,Automatic Transmission,Other,Unknown,Gasoline,Left Hand Side,,White, Dubai,Other,hyundai,tucson
22000,180000,Perfect inside and out,Perfect inside and out,Owner,Other,Unknown,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2016.0,White, Dubai,SV,nissan,sunny
1700000,0,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,Unknown,Automatic Transmission,North American Specs,300 - 400 HP,Diesel,Left Hand Side,2017.0,Black, Dubai,Other,other-make,other-4x4
69000,70000,Perfect inside and out,Perfect inside and out,Owner,Coupe,Unknown,Automatic Transmission,Other,Unknown,Gasoline,Left Hand Side,1976.0,Other Color, Sharjah,Other,other-make,other-car
150000,32000,Perfect inside and out,Perfect inside and out,Owner,SUV,Unknown,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2019.0,Grey, Dubai,Other,lincoln,nautilus
59900,44000,Perfect inside and out,Perfect inside and out,Dealership/Certified Pre-Owned,Hatchback,Unknown,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2021.0,White, Dubai,Lounge,fiat,fiat-500
196000,0,Perfect inside and out,Perfect inside and out,Dealer,SUV,Unknown,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2021.0,White, Dubai,Other,chevrolet,suburban
100000,66000,"A bit of wear & tear, all repaired","Minor faults, all fixed",Owner,SUV,Unknown,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2016.0,Grey, Dubai,S-line,audi,q5
80000,0,Perfect inside and out,Perfect inside and out,Dealer,Utility Truck,Unknown,Manual Transmission,GCC Specs,Unknown,Diesel,Left Hand Side,2019.0,Yellow, Dubai,Other,other-make,heavy-vehicles
